"ProductName;CategoryId;ImageUrl;DiscountPrice;ActualPrice;Summary;ShowCase"
"Samsung Galaxy S24;6;1.png;42500;45000;Samsung Galaxy S24, son teknoloji donanımı, yüksek çözünürlüklü ekranı, güçlü işlemcisi ve üstün kamera sistemi ile kullanıcıya eşsiz bir deneyim sunar. Modern tasarımı ve dayanıklı yapısı, profesyonel ve günlük kullanımlarda beklentilerin ötesinde performans sağlar.;false"
"Huawei P60 Pro;6;2.png;39500;42000;Huawei P60 Pro, yenilikçi kamera teknolojisi, gelişmiş görüntü işleme algoritmaları ve uzun pil ömrü ile öne çıkar. Estetik ve ergonomik tasarımı, hem iş hem eğlence amaçlı kullanımda üstün performans sergilemesini sağlar.;false"
"Lenovo ThinkPad X1 Carbon;7;3.png;78000;80000;Lenovo ThinkPad X1 Carbon, hafifliği, dayanıklı yapısı ve yüksek performanslı işlemcisi sayesinde iş dünyasında vazgeçilmezdir. Geniş depolama alanı, uzun pil ömrü ve ergonomik klavyesi, profesyonel kullanımda maksimum verimlilik sunar.;false"
"Dell XPS 13;1;4.png;68000;70000;Dell XPS 13, kompakt boyutu, yüksek çözünürlüklü ekranı ve güçlü donanımı ile modern iş yaşamının tüm gereksinimlerini karşılar. İnce tasarımı ve üstün performans özellikleri, taşınabilirlik ve verimlilik açısından ideal seçimdir.;false"
"Apple AirPods Pro 2;8;5.png;9500;10000;Apple AirPods Pro 2, üstün ses kalitesi, aktif gürültü engelleme ve uzamsal ses teknolojisi ile eşsiz kablosuz deneyim sunar. Ergonomik tasarımı ve uzun pil ömrü, kullanıcıya kesintisiz ve yüksek kaliteli müzik dinleme imkânı verir.;false"
"Sony WH-1000XM5;8;6.png;11500;12000;Sony WH-1000XM5, sektör lideri gürültü engelleme teknolojisi, üstün ses performansı ve modern tasarımıyla dikkat çeker. Uzun süreli kullanımda bile konforlu olan bu kulaklık, profesyonel ve günlük müzik deneyiminde fark yaratır.;false"
"Erkek Slim Fit Takım Elbise;9;7.png;2500;2800;Erkek Slim Fit Takım Elbise, kaliteli kumaşı ve modern kesimi ile resmî ve gündelik ortamlarda şıklığı garantiler. İnce dikiş detayları, mükemmel uyumu ve konforlu yapısı sayesinde iş toplantılarından özel davetlere kadar geniş bir kullanım alanı sunar.;false"
"Erkek Spor Ceket;9;8.png;1500;1700;Erkek Spor Ceket, dinamik tasarımı, rahat kesimi ve yüksek kaliteli malzemeleri ile spor aktivitelerinden günlük yaşama kadar her ortamda stil ve konforu bir arada sunar. Fonksiyonel cepler ve modern detaylar cazibesini artırır.;false"
"Kadın Klasik Elbise;10;9.png;2000;2300;Kadın Klasik Elbise, zarif ve şık tasarımı ile her ortamda öne çıkar. İnce kumaşı, modern kesimi ve özenle işlenmiş detayları sayesinde günlük kullanımda ve özel davetlerde eşsiz bir stil sunar.;false"
"Kadın Triko Kazak;10;10.png;1200;1400;Kadın Triko Kazak, soğuk günlerde sıcaklık sağlarken; modern çizgileri ve yumuşak dokusuyla stilinizi tamamlar. Konforlu kesimi, şık detayları ve çeşitli renk seçenekleri ile gardırobunuzun vazgeçilmez parçasıdır.;false"
